date,state,fips,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200406,AK,2,191,"6,692",,,23,,,,,,4d91929ba83b31e1dda30ca4a3c7d5716d39bfd7,2020-04-06T20:00:00Z,6,23,"6,883","6,883","6,883", -   ,3,593,6,599
20200406,AL,1,"1,968","12,797",,,240,,,,,,2efa35d0a2dc1dac3c6e12ced852169b719f14ea,2020-04-06T20:00:00Z,50,240,"14,765","14,765","14,765",5,9,"1,515",172,"1,687"
20200406,AR,5,875,"11,970",,74,130,,43,22,39,102,4863eb8e424b938c8b4ab5af626936a345a67301,2020-04-06T20:00:00Z,16,130,"12,845","12,845","12,845", -   , -   ,"1,558",45,"1,603"
20200406,AS,60, -   ,20,11,,,,,,,,bf28ea96b58b9680bdcf69a8c2507f107133d6d9,2020-04-06T20:00:00Z, -   ,,31,20,20, -   , -   , -   , -   , -   
20200406,AZ,4,"2,456","30,078",,,325,,112,,,,451ec37455a37982d31a6bf2ff00be290e281327,2020-04-06T20:00:00Z,65,325,"32,534","32,534","32,534",1,15,"4,937",187,"5,124"
20200406,CA,6,"14,336","103,095","15,000","2,509",,"1,085",,,,,003211e59c1546fc081730f881ca621139601c35,2020-04-06T20:00:00Z,343,,"132,431","117,431","117,431",24, -   , -   ,898,898
20200406,CO,8,"4,950","20,823",,,924,,,,,,f5ce941d6e6868fc46fb4531c69ee628b10c7627,2020-04-06T20:00:00Z,140,924,"25,773","25,773","25,773",14,49,"1,488",385,"1,873"
20200406,CT,9,"6,906","19,780",,"1,221",,,,,,,331c624125331bd02f6656dbf3b17f66953734f1,2020-04-06T20:00:00Z,206,,"26,686","26,686","26,686",17, -   ,"2,185","1,231","3,416"
20200406,DC,11,"1,097","6,356",,,,,,,,287,efc1c5bfd8563e9f8cb1bcb65c39a8636e42aee3,2020-04-06T20:00:00Z,24,,"7,453","7,453","7,453",2, -   ,520,99,619
20200406,DE,10,673,"6,321",,101,,,,,,71,cf37ffc02efefef42ffb6e6b5529ba8356c3956f,2020-04-06T20:00:00Z,14,,"6,994","6,994","6,994", -   , -   , -   , -   , -   
20200406,FL,12,"13,324","109,950","1,142",,"1,682",,,,,,b4dbb2348dfa81a79ef605f252915ceeb3f37601,2020-04-06T20:00:00Z,236,"1,682","124,416","123,274","123,274",18,110,"8,697","1,173","9,870"
20200406,GA,13,"7,314","32,698",,,"1,332",,,,,,b300368acb714975bfe43f3defcc2554b3108b1f,2020-04-06T20:00:00Z,229,"1,332","40,012","40,012","40,012",18,49,"11,513",667,"12,180"
20200406,GU,66,113,505,,,31,,2,,,25,58397eca84d44c7ebe64fd4e4dfcc196e2bff3d8,2020-04-06T20:00:00Z,4,31,618,618,618, -   , -   ,12,1,13
20200406,HI,15,371,"13,155",,,21,,6,,,85,db9f4880719074c900ecffea275c5058b1b37074,2020-04-06T20:00:00Z,4,21,"13,526","13,526","13,526", -   ,2,551,20,571
20200406,IA,19,946,"10,653",,99,179,,,,,284,c4c1a020fdf54b6521f263c532a4de89d1879baf,2020-04-06T20:00:00Z,25,179,"11,599","11,599","11,599",3,14,680,78,758
20200406,ID,16,"1,101","9,894",,,77,,16,,,,4e2f37a1fcf63752d912fbe47f4e932a367e3e5a,2020-04-06T20:00:00Z,10,77,"10,995","10,995","10,995", -   ,11,710,24,734
20200406,IL,17,"12,262","50,680",,,,,,,,,78c31ba234d1c85d4b9d41c49ea533da5c855ffe,2020-04-06T20:00:00Z,307,,"62,942","62,942","62,942",33, -   ,"2,953","1,006","3,959"
